year,quarter,region,area,level_of_edu,value,unit,source
2561,Quarter 1,ภาคใต้,ในเขตเทศบาล,Primary Education,71.03,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,ในเขตเทศบาล,Lower Secondary Education,59.53,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,ในเขตเทศบาล,Upper Secondary Education - General Track,61.49,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,ในเขตเทศบาล,Upper Secondary Education - Vocational Track,71.36,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,ในเขตเทศบาล,Upper Secondary Education - Academic Track,76.72,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,ในเขตเทศบาล,Higher Education - Academic Track,88.12,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,ในเขตเทศบาล,Higher Education - Vocational Track,80.49,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,ในเขตเทศบาล,Higher Education - Teacher Education Track,68.67,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,ในเขตเทศบาล,Other Education,74.32,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,ในเขตเทศบาล,No Data,77.68,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,นอกเขตเทศบาล,Total,70.05,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,นอกเขตเทศบาล,No Education,48.14,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,นอกเขตเทศบาล,Below Primary Education,59.52,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,นอกเขตเทศบาล,Primary Education,76.26,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,นอกเขตเทศบาล,Lower Secondary Education,64.15,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,นอกเขตเทศบาล,Upper Secondary Education - General Track,75.05,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,นอกเขตเทศบาล,Upper Secondary Education - Vocational Track,68.77,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,นอกเขตเทศบาล,Upper Secondary Education - Academic Track,0.0,Percentage,National Statistical Office of Thailand
